dn_id,dn_name,primary_cluster,specialization,n_clusters_targeted,total_connectivity,n_in_targets,cluster_1,cluster_3,cluster_4,cluster_5,cluster_2
720575941440280767,DNa15,1,steering_control,3,659,27,305.0,,120.0,234.0,
720575941496011719,DNa16,5,steering_control,2,611,13,,,275.0,336.0,
720575941638407199,DNa15,5,steering_control,3,593,28,169.0,,136.0,288.0,
720575941507568709,DNa16,5,steering_control,2,474,12,,,216.0,258.0,
720575941612044518,DNa04,5,steering_control,4,465,21,103.0,11.0,77.0,274.0,
720575941552726407,DNg99,1,steering_control,4,458,22,283.0,77.0,54.0,44.0,
720575941533704067,DNp31,4,steering_control,5,424,31,66.0,96.0,100.0,80.0,82.0
720575941450506830,DNp18,1,steering_control,4,401,16,306.0,14.0,10.0,71.0,
720575941602323897,DNa04,5,steering_control,3,388,20,96.0,,62.0,230.0,
720575941515972698,DNg99,1,steering_control,4,378,19,162.0,74.0,85.0,57.0,
720575941471808375,DNxn125,5,steering_control,3,349,17,60.0,,21.0,268.0,
720575941547452084,DNp49,5,steering_control,3,345,21,,25.0,55.0,265.0,
720575941645444808,DNp22,1,steering_control,3,339,17,211.0,,117.0,11.0,
720575941535245034,DNb07,5,steering_control,3,322,16,97.0,,73.0,152.0,
720575941618366079,DNp31,4,steering_control,5,316,22,63.0,52.0,78.0,62.0,61.0
720575941472160011,DNp73,1,steering_control,2,306,14,184.0,,122.0,,
720575941478585450,DNp22,1,steering_control,3,300,16,185.0,,77.0,38.0,
720575941504652482,DNxn124,3,steering_control,4,298,15,,254.0,12.0,22.0,10.0
720575941733034283,DNp19,1,steering_control,3,296,20,136.0,,79.0,81.0,
720575941474063968,DNxn163,2,power_control,3,295,12,,,35.0,87.0,173.0
720575941652633585,DNae002,5,steering_control,4,287,14,99.0,10.0,15.0,163.0,
720575941560503155,DNp73,1,steering_control,3,286,13,141.0,,130.0,15.0,
720575941442418639,DNxn142,1,steering_control,3,280,12,219.0,,11.0,50.0,
720575941639588127,DNp33,4,steering_control,4,270,16,30.0,38.0,165.0,37.0,
720575941411441323,DNxn124,3,steering_control,3,270,12,,250.0,,10.0,10.0
720575941592893992,DNp49,5,steering_control,3,268,15,29.0,,47.0,192.0,
720575941491972327,DNge084,4,steering_control,2,267,8,40.0,,227.0,,
720575941600878377,DNa05,5,steering_control,4,264,18,11.0,29.0,68.0,156.0,
720575941652614129,DNae002,5,steering_control,4,263,13,19.0,11.0,45.0,188.0,
720575941563218944,DNxn122,1,steering_control,3,262,13,135.0,,49.0,78.0,
720575941414262161,DNxn163,2,power_control,4,261,14,,10.0,43.0,87.0,121.0
720575941540246364,DNxn125,5,steering_control,3,254,13,40.0,,13.0,201.0,
720575941552603966,DNp19,1,steering_control,4,250,17,111.0,,70.0,58.0,11.0
720575941573616891,DNp59,5,steering_control,2,243,10,,,,172.0,71.0
720575941595189029,DNp18,1,steering_control,3,242,7,179.0,,,38.0,25.0
720575941453030983,DNb07,1,steering_control,3,240,12,111.0,,44.0,85.0,
720575941566309174,DNp26,1,steering_control,4,229,12,154.0,12.0,11.0,52.0,
720575941451941498,DNp33,4,steering_control,4,221,15,25.0,31.0,143.0,22.0,
720575941574675869,DNb07,3,steering_control,2,221,14,,185.0,36.0,,
720575941392812548,DNp26,1,steering_control,4,220,11,131.0,23.0,10.0,56.0,
720575941503549931,DNg71,5,steering_control,3,215,11,57.0,,73.0,85.0,
720575941445707284,DNp28,5,steering_control,3,214,9,33.0,,45.0,136.0,
720575941486700098,DNa05,5,steering_control,3,211,14,,10.0,47.0,154.0,
720575941438410514,DNb07,3,steering_control,2,205,10,,194.0,11.0,,
