source,target,weight,neuropil,nt_type
720575941350374960,720575941643100754,35,VNC_WTct_R,
720575941350393904,720575941456201887,11,VNC_HTct_L,
720575941350393904,720575941456201887,7,VNC_IntTct_L,
720575941350393904,720575941456201887,11,VNC_WTct_L,
720575941350393904,720575941459347411,9,VNC_HTct_L,
720575941350393904,720575941459347411,16,VNC_IntTct_L,
720575941350393904,720575941459347411,10,VNC_WTct_L,
720575941350393904,720575941479658831,4,VNC_WTct_R,
720575941350393904,720575941483845954,7,VNC_WTct_L,
720575941350393904,720575941513173763,6,VNC_IntTct_R,
720575941350393904,720575941513173763,7,VNC_WTct_R,
720575941350393904,720575941516770670,6,VNC_IntTct_R,
720575941350393904,720575941516770670,10,VNC_WTct_R,
720575941350393904,720575941580669817,4,VNC_IntTct_R,
720575941350393904,720575941580669817,13,VNC_WTct_R,
720575941350393904,720575941624155644,3,VNC_WTct_L,
720575941350393904,720575941630940642,3,VNC_HTct_L,
720575941350393904,720575941630940642,8,VNC_IntTct_L,
720575941350393904,720575941630940642,14,VNC_WTct_L,
720575941350393904,720575941732789547,3,VNC_WTct_L,
720575941350395952,720575941475745898,3,VNC_LTct_L,
720575941350395952,720575941475745898,3,VNC_LTct_R,
720575941350395952,720575941475745898,6,VNC_WTct_R,
720575941350395952,720575941489673420,5,VNC_WTct_L,
720575941350395952,720575941547394081,3,VNC_WTct_L,
720575941350395952,720575941547394081,3,VNC_unassigned_L,
720575941350395952,720575941547394081,3,VNC_unassigned_R,
720575941350395952,720575941624155644,5,VNC_HTct_L,
720575941350395952,720575941624155644,8,VNC_WTct_L,
720575941350395952,720575941629172716,5,VNC_HTct_R,
720575941350395952,720575941629172716,5,VNC_WTct_R,
720575941350395952,720575941655597785,5,VNC_HTct_R,
720575941350395952,720575941655597785,8,VNC_WTct_R,
720575941350409264,720575941489673420,5,VNC_IntTct_L,
720575941350409264,720575941542412805,9,VNC_HTct_L,
720575941350409264,720575941547315060,35,VNC_HTct_L,
720575941350409264,720575941547315060,13,VNC_IntTct_L,
720575941350409264,720575941565378919,13,VNC_HTct_L,
720575941350441008,720575941547315060,6,VNC_IntTct_L,
720575941350441008,720575941547315060,4,VNC_WTct_L,
720575941350441008,720575941547394081,7,VNC_IntTct_L,
720575941351927600,720575941643100754,4,VNC_WTct_R,
720575941351927600,720575941645041313,4,VNC_HTct_L,
720575941351927600,720575941645041313,26,VNC_WTct_L,
720575941352867120,720575941468897856,3,VNC_HTct_R,
720575941352867120,720575941475745898,4,VNC_HTct_R,
720575941352867120,720575941547394081,5,VNC_HTct_L,
720575941352867120,720575941547394081,6,VNC_WTct_L,
720575941353376048,720575941643100754,3,VNC_HTct_R,
720575941353376048,720575941643100754,3,VNC_NTct_R,
720575941390273796,720575941459347411,8,VNC_HTct_L,
720575941390273796,720575941459347411,3,VNC_IntTct_L,
720575941390273796,720575941459347411,9,VNC_WTct_L,
720575941390273796,720575941468288375,5,VNC_HTct_L,
720575941390273796,720575941468288375,4,VNC_HTct_R,
720575941390273796,720575941483845954,5,VNC_HTct_L,
720575941390273796,720575941483845954,6,VNC_WTct_L,
720575941390273796,720575941565378919,3,VNC_HTct_L,
720575941390273796,720575941624155644,3,VNC_WTct_L,
720575941390273796,720575941630940642,4,VNC_HTct_L,
720575941390273796,720575941630940642,3,VNC_WTct_L,
720575941390273796,720575941645041313,3,VNC_HTct_L,
720575941390313988,720575941468288375,8,VNC_WTct_R,
720575941390313988,720575941483845954,9,VNC_WTct_R,
720575941390313988,720575941597489344,7,VNC_WTct_R,
720575941390320644,720575941534583786,3,VNC_WTct_L,
720575941390320644,720575941547394081,10,VNC_WTct_L,
720575941390326532,720575941479034563,4,VNC_WTct_R,
720575941390326532,720575941596050112,3,VNC_WTct_R,
720575941390660502,720575941463144336,3,VNC_WTct_L,
720575941390660502,720575941507955269,11,VNC_WTct_L,
720575941390660502,720575941519783640,15,VNC_WTct_L,
720575941390660502,720575941534583786,5,VNC_WTct_L,
720575941390660502,720575941560383347,4,VNC_WTct_L,
