source,target,weight,neuropil,nt_type
720575941350374960,720575941643100754,35,VNC_WTct_R,
720575941350393904,720575941456201887,11,VNC_HTct_L,
720575941350393904,720575941456201887,11,VNC_WTct_L,
720575941350393904,720575941459347411,16,VNC_IntTct_L,
720575941350393904,720575941459347411,10,VNC_WTct_L,
720575941350393904,720575941516770670,10,VNC_WTct_R,
720575941350393904,720575941580669817,13,VNC_WTct_R,
720575941350393904,720575941630940642,14,VNC_WTct_L,
720575941350409264,720575941547315060,35,VNC_HTct_L,
720575941350409264,720575941547315060,13,VNC_IntTct_L,
720575941350409264,720575941565378919,13,VNC_HTct_L,
720575941351927600,720575941645041313,26,VNC_WTct_L,
720575941390320644,720575941547394081,10,VNC_WTct_L,
720575941390660502,720575941507955269,11,VNC_WTct_L,
720575941390660502,720575941519783640,15,VNC_WTct_L,
720575941390660502,720575941640465439,12,VNC_WTct_L,
720575941390660502,720575941645403000,21,VNC_WTct_L,
720575941390684310,720575941456201887,12,VNC_WTct_L,
720575941390684310,720575941630940642,15,VNC_WTct_L,
720575941390688150,720575941516770670,19,VNC_WTct_R,
720575941392423830,720575941624155644,17,VNC_WTct_L,
720575941392667286,720575941475745898,13,VNC_IntTct_R,
720575941392743940,720575941624155644,19,VNC_WTct_L,
720575941393490326,720575941521196211,13,VNC_WTct_L,
720575941393490326,720575941624155644,10,VNC_WTct_L,
720575941393490838,720575941459347411,23,VNC_IntTct_L,
720575941394069654,720575941456201887,17,VNC_HTct_L,
720575941394069654,720575941547315060,12,VNC_HTct_L,
720575941399188003,720575941547394081,12,VNC_WTct_L,
720575941399253283,720575941549822781,17,VNC_HTct_R,
720575941399253283,720575941549822781,26,VNC_WTct_R,
720575941399253283,720575941655597785,13,VNC_WTct_R,
720575941399264291,720575941463144336,11,VNC_WTct_L,
720575941399264291,720575941534583786,24,VNC_WTct_L,
720575941399264291,720575941640465439,15,VNC_WTct_L,
720575941399264291,720575941645403000,25,VNC_WTct_L,
720575941399309603,720575941521196211,27,VNC_WTct_L,
720575941399309603,720575941624155644,11,VNC_WTct_L,
720575941400703267,720575941630940642,10,VNC_NTct_L,
720575941400818723,720575941513173763,36,VNC_HTct_R,
720575941400818723,720575941513173763,10,VNC_NTct_R,
720575941400818723,720575941513173763,11,VNC_WTct_R,
720575941400818723,720575941580669817,26,VNC_HTct_R,
720575941401776931,720575941513173763,17,VNC_WTct_R,
720575941401776931,720575941516770670,10,VNC_HTct_R,
720575941401776931,720575941516770670,21,VNC_WTct_R,
720575941401776931,720575941580669817,18,VNC_HTct_R,
720575941401776931,720575941580669817,26,VNC_WTct_R,
720575941401776931,720575941630940642,13,VNC_HTct_L,
720575941401776931,720575941655597785,28,VNC_WTct_R,
720575941401776931,720575941732789547,20,VNC_WTct_R,
720575941402032240,720575941463144336,11,VNC_WTct_L,
720575941402032240,720575941463144336,27,VNC_WTct_R,
720575941402032240,720575941472734048,18,VNC_WTct_R,
720575941402032240,720575941479034563,13,VNC_WTct_L,
720575941402032240,720575941479034563,47,VNC_WTct_R,
720575941402032240,720575941487139138,15,VNC_WTct_R,
720575941402032240,720575941507955269,26,VNC_WTct_L,
720575941402032240,720575941507955269,17,VNC_WTct_R,
720575941402032240,720575941519783640,29,VNC_WTct_L,
720575941402032240,720575941530190027,10,VNC_WTct_R,
720575941402032240,720575941533190337,12,VNC_WTct_L,
720575941402032240,720575941533190337,43,VNC_WTct_R,
720575941402032240,720575941534583786,21,VNC_WTct_L,
720575941402032240,720575941560383347,22,VNC_WTct_L,
720575941402032240,720575941565105206,12,VNC_WTct_L,
720575941402032240,720575941566847847,15,VNC_WTct_L,
720575941402032240,720575941583644382,46,VNC_WTct_R,
720575941402032240,720575941596050112,43,VNC_WTct_R,
720575941402032240,720575941597489344,28,VNC_WTct_R,
720575941402032240,720575941603635190,20,VNC_WTct_R,
720575941402032240,720575941624985226,12,VNC_WTct_R,
720575941402032240,720575941640465439,30,VNC_WTct_L,
720575941402032240,720575941645403000,36,VNC_WTct_L,
