dn_group,muscle,numerator_synapses,denominator_output,output_fraction
DNg26,ps1,61,188.0,0.324468085106383
DNa08,DLM1,211,744.0,0.28360215053763443
DNge015,ps1,20,81.0,0.24691358024691357
DNge015,DLM1,18,81.0,0.2222222222222222
DNut051,DLM1,135,661.0,0.2042360060514372
DNa07,hg1,57,293.0,0.1945392491467577
untyped_720575941434874912,ps1,30,157.0,0.1910828025477707
DNpe010,hg3,11,60.0,0.18333333333333332
DNg110,ps1,159,925.0,0.17189189189189188
DNut053,DLM1,157,920.0,0.17065217391304346
DNp31,DLM1,728,4725.0,0.15407407407407409
DNg02,ps1,840,5907.0,0.14220416455053325
DNg82,DLM1,205,1511.0,0.1356717405691595
DNa10,i2,421,3162.0,0.13314358001265023
DNp63,hg2,155,1237.0,0.12530315278900567
DNpe010,hg4,7,60.0,0.11666666666666667
DNg04,hg1,153,1323.0,0.11564625850340136
DNg04,hg4,147,1323.0,0.1111111111111111
DNp03,DLM1,126,1243.0,0.10136765888978279
DNnt007,ps1,8,87.0,0.09195402298850575
DNg82,hg2,128,1511.0,0.08471211118464593
DNpe010,hg1,5,60.0,0.08333333333333333
DNg50,DLM5,34,419.0,0.081145584725537
DNbe005,hg1,75,966.0,0.07763975155279502
DNp31,ps1,361,4725.0,0.0764021164021164
DNg27,DLM1,145,2049.0,0.07076622742801367
DNa04,hg1,233,3294.0,0.07073466909532483
untyped_720575941434874912,DLM1,11,157.0,0.07006369426751592
DNa08,b3,52,744.0,0.06989247311827956
DNge092,hg4,18,260.0,0.06923076923076923
DNg110,DLM1,64,925.0,0.06918918918918919
DNut053,DLM5,61,920.0,0.06630434782608696
DNa07,b2,19,293.0,0.06484641638225255
DNut037,i1,78,1248.0,0.0625
DNg02,DLM1,330,5907.0,0.055865921787709494
DNp49,iii1,212,3814.0,0.05558468799160986
DNg50,DLM1,23,419.0,0.05489260143198091
DNut051,DLM5,36,661.0,0.05446293494704992
DNg05,hg3,113,2096.0,0.053912213740458015
DNge154,b2,8,152.0,0.05263157894736842
DNg17,b2,111,2121.0,0.05233380480905234
DNa07,iii4,15,293.0,0.051194539249146756
DNg27,DLM5,104,2049.0,0.05075646656905808
DNge148,DVM1A,86,1715.0,0.05014577259475218
DNxl082,iii4,23,473.0,0.048625792811839326
