source,target,weight,neuropil,nt_type
720575941392812548,720575941414508948,22,VNC_IntTct_L,
720575941392812548,720575941465484566,22,VNC_HTct_L,
720575941392812548,720575941465484566,19,VNC_IntTct_L,
720575941392812548,720575941478488143,11,VNC_HTct_L,
720575941392812548,720575941561320493,12,VNC_HTct_L,
720575941392812548,720575941572251144,45,VNC_HTct_L,
720575941392812548,720575941572251144,17,VNC_IntTct_L,
720575941392812548,720575941579868917,10,VNC_IntTct_L,
720575941392812548,720575941601088441,21,VNC_HTct_L,
720575941392812548,720575941611080010,13,VNC_HTct_L,
720575941392812548,720575941630748859,28,VNC_HTct_L,
720575941394119830,720575941513160697,16,VNC_IntTct_R,
720575941400285475,720575941579868917,45,VNC_NTct_L,
720575941401766435,720575941523112439,13,VNC_T1_ProNm_L,
720575941407841071,720575941414508948,11,VNC_IntTct_R,
720575941407841071,720575941429556655,10,VNC_IntTct_R,
720575941408508078,720575941438659551,14,VNC_T3_MetaNm_R,
720575941408508078,720575941537501160,12,VNC_IntTct_R,
720575941408508078,720575941563920999,28,VNC_IntTct_R,
720575941408508078,720575941563920999,13,VNC_T2_MesoNm_R,
720575941408508078,720575941566802170,11,VNC_IntTct_R,
720575941408508078,720575941566802170,10,VNC_LTct_R,
720575941408508078,720575941625963419,36,VNC_IntTct_R,
720575941408508078,720575941625963419,12,VNC_LTct_R,
720575941408508078,720575941645261768,11,VNC_ANm_R,
720575941408508078,720575941645261768,19,VNC_T3_MetaNm_R,
720575941408535343,720575941703131610,11,VNC_T1_ProNm_L,
720575941408661934,720575941429439959,50,VNC_IntTct_L,
720575941408661934,720575941429439959,15,VNC_LTct_L,
720575941408661934,720575941519213016,12,VNC_IntTct_L,
720575941408661934,720575941535047690,13,VNC_IntTct_L,
720575941408661934,720575941615272601,17,VNC_LTct_L,
720575941409225902,720575941552643390,19,VNC_AMNp_L,
720575941409225902,720575941619873663,11,VNC_T1_ProNm_L,
720575941411212715,720575941456678893,22,VNC_NTct_L,
720575941411212715,720575941503499755,13,VNC_HTct_L,
720575941411212715,720575941579868917,13,VNC_NTct_L,
720575941411441323,720575941432778638,10,VNC_IntTct_R,
720575941411441323,720575941475749994,10,VNC_IntTct_L,
720575941411441323,720575941526701412,32,VNC_HTct_L,
720575941411441323,720575941575397263,14,VNC_HTct_L,
720575941411441323,720575941575397263,26,VNC_HTct_R,
720575941411441323,720575941623108298,29,VNC_HTct_R,
720575941411441323,720575941623108298,27,VNC_IntTct_R,
720575941411441323,720575941623108298,36,VNC_WTct_R,
720575941411441323,720575941671138727,12,VNC_HTct_L,
720575941411441323,720575941671138727,32,VNC_IntTct_L,
720575941411441323,720575941671138727,11,VNC_NTct_L,
